item_id,h_raw,h_icc,n_resp,n_clusters_used,topic,het_quartile,role_standard,role_adversarial,h_raw_coarse,h_icc_coarse
contv,0.1162560789849149,0.06427279820365153,2154,122,civic_trust,q2,target,anchor,0.02948514818054846,0.0188294951901969
conjudge,0.08703729043265315,0.032769508673928645,2145,122,civic_trust,q1,anchor,anchor,0.00991676190339955,-0.0018384389044504765
consci,0.1378584941898267,0.08651003313978667,2121,122,civic_trust,q3,anchor,anchor,0.04953963850805714,0.03973262813978715
conlegis,0.12464948593039298,0.073097182072478,2148,122,civic_trust,q2,target,anchor,0.02342750263848416,0.012416517727616823
conarmy,0.10443424595600304,0.05165273360774759,2155,122,civic_trust,q1,anchor,anchor,0.026662854176098084,0.015863315841911647
obey,0.17480706028373777,0.1258511932808737,2114,122,gender_family,q4,target,anchor,0.05785003479880865,0.04843040525037
popular,0.10758239822113097,0.05391581953357342,2114,122,gender_family,q1,anchor,anchor,0.018606208417662747,0.007141646409705271
thnkself,0.1296530193751007,0.07754514165281108,2114,122,gender_family,q2,anchor,anchor,0.023202945675306983,0.011985029561578152
workhard,0.09718872243329575,0.04278400016696758,2114,122,gender_family,q1,anchor,anchor,0.020173265736066818,0.008792999409901296
helpoth,0.10136976211397415,0.04726228744211668,2114,122,gender_family,q1,anchor,anchor,0.027631199956656863,0.016649101204269885
socrel,0.12269132575933875,0.07154158802192506,2169,122,social_networks,q2,anchor,anchor,0.043745302038365366,0.03391557875837113
socommun,0.10829616945932984,0.05615437371982583,2169,122,social_networks,q1,anchor,anchor,0.023280441069667524,0.012379627402557271
socfrend,0.15664000096379707,0.1077445700448302,2166,122,social_networks,q3,anchor,anchor,0.07272195390074267,0.06432396654792527
socbar,0.1393366712606823,0.08941694571874478,2172,122,social_networks,q3,anchor,anchor,0.05062979453064783,0.04116655497877036
joblose,0.1688581654419427,0.09600659435296159,1165,96,work_labor,q3,anchor,anchor,0.060355658982769664,0.042696887987129825
jobfind,0.15729279988573072,0.08228013623912586,1163,97,work_labor,q2,target,anchor,0.0354357318484556,0.016005760661067667
satjob,0.11039075310233985,0.06217459975918626,2229,117,work_labor,q1,target,anchor,0.04731342409200698,0.03826527991407787
richwork,0.1343149432508146,0.06382908802673921,1264,97,work_labor,q2,anchor,anchor,0.04119151518194208,0.02393718793671316
class,0.23254229176825775,0.2047632349778807,3268,122,econ_inequality,q4,anchor,anchor,0.06102699246060775,0.05591455585317466
satfin,0.18009457027831322,0.1501682338316979,3291,122,econ_inequality,q4,anchor,anchor,0.045134989411481585,0.039348984502880255
finalter,0.11003104947149028,0.07676023963328761,3286,122,econ_inequality,q2,anchor,anchor,0.04141982581448238,0.035448237012337375
finrela,0.25718652172743467,0.2305760919962747,3274,122,econ_inequality,q4,anchor,anchor,0.04673529834410184,0.040983647917127254
getahead,0.22103440198838104,0.1279894224317652,917,100,econ_inequality,q4,target,anchor,0.04655159479079198,0.022706351571030008
kidssol,0.1917322145675211,0.09006290030216174,808,92,econ_inequality,q3,target,anchor,0.06009452970776529,0.03447625089730377
fepol,0.23556157065666192,0.13332906951405532,822,99,gender_family,q4,anchor,anchor,0.09638399856530498,0.07308249037429179
abdefect,0.13768274905957673,0.06398439702218967,1526,122,gender_family,q2,anchor,anchor,0.036490309045697965,0.02127359196814293
abnomore,0.17211652817064788,0.10151874249524635,1522,122,gender_family,q3,anchor,anchor,0.04926705393812202,0.034728756239562904
abhlth,0.17747255326170186,0.10903904961513997,1555,122,gender_family,q3,target,anchor,0.03855717182949905,0.02377743539513238
abpoor,0.15090204157081596,0.07874922873106369,1531,122,gender_family,q2,anchor,anchor,0.0441930396221342,0.029472654002330793
abrape,0.1768644561642365,0.10709092836695287,1529,122,gender_family,q3,anchor,anchor,0.031633381549399264,0.01617004951619398
absingle,0.16388334193816173,0.09264551878168814,1525,122,gender_family,q3,target,anchor,0.03787031264485,0.022718835640463442
abany,0.1381656377619931,0.08734980908128646,2140,122,gender_family,q3,target,anchor,0.03653803498039895,0.026165374257218182
pillok,0.11659439809837437,0.06381009092662931,2123,122,sexuality,q2,target,anchor,0.04405481157751271,0.03398329596958498
sexeduc,0.12259439263352669,0.07044480381501922,2131,122,sexuality,q2,target,anchor,0.05353298712732242,0.043992072724517016
divlaw,0.20005335613818193,0.09793710052248698,815,94,gender_family,q3,anchor,anchor,0.07226376236809381,0.04764705964504421
premarsx,0.13409323032952367,0.08232029054273605,2115,122,sexuality,q2,anchor,anchor,0.05732617410549174,0.047883949905299476
teensex,0.13410208117617722,0.08254769393248139,2123,122,sexuality,q3,target,anchor,0.06270881448397336,0.05358633962504753
xmarsex,0.12028266065344574,0.06948151832598787,2189,122,sexuality,q2,anchor,anchor,0.04486510948428866,0.035190876740757486
homosex,0.1784989431203998,0.13006826305751723,2125,122,sexuality,q4,anchor,anchor,0.08307308914622884,0.07494057870802133
pornlaw,0.11685718970448428,0.06480031230897385,2150,122,sexuality,q2,anchor,anchor,0.02987023437615079,0.019211243736313253
xmovie,0.2588521597640615,0.17291259015846286,1071,114,sexuality,q4,target,anchor,0.14616476657493027,0.13085028473824734
letdie1,0.2206513486987013,0.12703491563429167,1015,111,health_wellbeing,q4,anchor,target,0.05963758891300722,0.03834038567374804
suicide1,0.14934917789112412,0.0746607463763091,1462,120,health_wellbeing,q2,anchor,target,0.03323123934961494,0.017171776134957604
suicide2,0.1563446303835708,0.08296184122623597,1473,120,health_wellbeing,q3,anchor,target,0.04773981054715868,0.032643247807950984
suicide4,0.16182634513417382,0.08664713137540263,1432,120,health_wellbeing,q3,anchor,target,0.03752485815863286,0.021338211858253096
polhitok,0.21926139407064169,0.12954264078253985,1045,110,crime_justice,q4,target,anchor,0.03246999980947896,0.010139423273259868
polabuse,0.18447187712258292,0.0890704320939218,1052,112,crime_justice,q3,anchor,anchor,0.04042989083880385,0.01859639251762612
polmurdr,0.10866898238221466,0.055691397903744715,2137,122,crime_justice,q1,target,anchor,0.030360163638601837,0.01965352447513419
polescap,0.11181044753016856,0.059193833347951766,2142,122,crime_justice,q1,anchor,anchor,0.028788318105924915,0.018027053042690977
polattak,0.18643126337430335,0.09067659185560346,1065,114,crime_justice,q3,anchor,anchor,0.043531210609527284,0.02200443507676216
fear,0.11297699629980255,0.06253070081712535,2223,122,crime_justice,q1,target,anchor,0.034709022034017475,0.024694034347675534
owngun,0.16126295775055569,0.11364423921005612,2206,122,crime_justice,q4,anchor,anchor,0.05334267966338574,0.04418672848006463
pistol,0.1499155632781069,0.10099299744007517,2183,122,crime_justice,q3,anchor,anchor,0.06839797193882433,0.059869338403189934
shotgun,0.17960963400213842,0.1326944645170964,2183,122,crime_justice,q4,target,anchor,0.07119408136913406,0.062801841542325
rifle,0.16981993408398502,0.12224536603013644,2183,122,crime_justice,q4,anchor,anchor,0.06485004572693037,0.05614734677354259
rowngun,0.2553540243993398,0.16115304985833218,744,86,crime_justice,q4,anchor,anchor,0.13073726311144943,0.10851757293168707
hunt,0.11300603698718148,0.06270964567609472,2229,122,misc_behavior,q1,anchor,anchor,0.03831300364845773,0.028514268512663272
hunt1,0.11412096835455111,0.06389996090891521,2229,122,misc_behavior,q2,anchor,anchor,0.03774065788419259,0.027912555644667398
news,0.16236413928167756,0.11391458374879987,2168,122,media_technology,q4,anchor,target,0.059955578904524166,0.050939231533305505
fechld,0.14212708336291446,0.09229458011268656,2168,122,gender_family,q3,anchor,anchor,0.02093804182237496,0.009906922419950441
fepresch,0.15200134973623006,0.10246980195317469,2153,122,gender_family,q3,target,anchor,0.051416392948394625,0.041890785481321885
fefam,0.1651484296681278,0.11674942463040784,2162,122,gender_family,q4,target,anchor,0.04649930447982017,0.03677004611555537
racdif1,0.20582434517274376,0.11168920072682267,962,104,race_ethnicity,q3,anchor,anchor,0.09671663570442461,0.07677076073364723
racdif2,0.1646739227907054,0.06671921219174161,985,105,race_ethnicity,q2,anchor,anchor,0.055945370490050675,0.03401443295402901
racdif3,0.21950212611766629,0.12753477593867804,975,105,race_ethnicity,q4,target,anchor,0.06716452203493867,0.04561746178016422
racdif4,0.1752364716966825,0.07728054259661106,973,105,race_ethnicity,q2,target,anchor,0.060365717158000376,0.038359182008851536
helppoor,0.15441983453154856,0.08995559904188812,1688,122,econ_inequality,q3,anchor,anchor,0.06314874364372408,0.05100585773300705
helpnot,0.17361872152261953,0.1095038509132483,1643,121,econ_inequality,q3,anchor,anchor,0.06374449598595024,0.051277946222398146
helpsick,0.1503504015529737,0.08466030866561852,1639,120,health_wellbeing,q3,anchor,target,0.03322832829575756,0.019071087859376182
helpblk,0.13331987004490714,0.06540128225044883,1611,119,race_ethnicity,q2,target,anchor,0.03512469014855114,0.020834255156782593
numgiven,0.2048817677504202,0.11537339186135905,1008,104,social_networks,q4,target,anchor,0.06649802437165372,0.04576788684763967
race1,0.22848906389778317,0.13483259035618492,914,101,social_networks,q4,anchor,anchor,0.06580839675394795,0.04295636986304811
race2,0.24838898580803556,0.152248819569066,819,95,social_networks,q4,target,anchor,0.09791487105486356,0.07507755275947814
race3,0.25808229050017545,0.15599060574276194,686,85,social_networks,q4,target,anchor,0.09293572841287837,0.0661574301635112
spouse1,0.21175143363637072,0.11654649826840421,901,99,social_networks,q4,target,anchor,0.051283791468958444,0.027340681370625737
spouse2,0.15718135959231389,0.04872890676644957,822,95,social_networks,q1,target,anchor,0.05186663536562627,0.025975813596894572
spouse3,0.2648099812433498,0.16441753172946624,690,85,social_networks,q4,anchor,anchor,0.05449488635369875,0.025055075839162524
child1,0.21862590621979786,0.12432502127273652,901,99,social_networks,q4,anchor,anchor,0.05688463960792977,0.033322608505857186
child2,0.2524446009655037,0.15728331695055187,822,95,social_networks,q4,anchor,anchor,0.11881625345590704,0.09742448222164078
child3,0.24179083609596172,0.13797583020071083,690,85,social_networks,q4,target,anchor,0.11429985646870659,0.0891697181003688
othfam1,0.20845690202656925,0.11281824387030431,901,99,social_networks,q3,target,anchor,0.040916209327077804,0.016259861279130896
othfam2,0.20768590698611838,0.10631298990528198,822,95,social_networks,q3,anchor,anchor,0.0496723726035567,0.02362693791217862
othfam3,0.20560910790892928,0.09637984149642409,690,85,social_networks,q3,anchor,anchor,0.05819636035565507,0.029033287445068785
cowork1,0.12198191985418186,0.014851148795935085,901,99,social_networks,q1,anchor,anchor,0.03963752524848341,0.014892505009990594
cowork2,0.16467506169420718,0.05727777515974432,822,95,social_networks,q1,anchor,anchor,0.033979539833058264,0.006815059698236931
cowork3,0.17289786577537442,0.058737161273220255,690,85,social_networks,q1,anchor,anchor,0.03491293047425817,0.003987054292072376
memgrp1,0.10671382677123341,-0.0024675891452156304,901,99,social_networks,q1,anchor,anchor,0.02835315907942071,0.0028188890314507814
memgrp2,0.09574838219406097,-0.02141646693243753,822,95,social_networks,q1,target,anchor,0.02570506776250903,-0.0020588608966137932
memgrp3,0.10837869503019579,-0.015610510738857624,690,85,social_networks,q1,anchor,anchor,0.04820134305752562,0.018287962463709746
neighbr1,0.13555996574628656,0.0302474027153861,901,99,social_networks,q1,anchor,anchor,0.04356243785155219,0.01908910439945121
neighbr2,0.1104629127204254,-0.004605023733733533,822,95,social_networks,q1,target,anchor,0.08104105475265871,0.057162687117274805
neighbr3,0.13493693876936247,0.015009849679350162,690,85,social_networks,q1,target,anchor,0.08191235637119913,0.05449102803202225
friend1,0.19667319407651476,0.0994807552199102,901,99,social_networks,q3,target,anchor,0.04851200638277622,0.02437920776371412
friend2,0.17684063530949556,0.07115283821077258,822,95,social_networks,q2,anchor,anchor,0.041626020319343315,0.01500972028141278
friend3,0.20878129071839785,0.10002840736864546,690,85,social_networks,q3,target,anchor,0.06658541084561392,0.03804464282748703
advisor1,0.15941537879115072,0.05728483170698492,901,99,social_networks,q1,target,anchor,0.056457849195599104,0.03286688388458628
advisor2,0.11846148283096396,0.004530720904506574,822,95,social_networks,q1,anchor,anchor,0.051182145737814565,0.025243142114445446
advisor3,0.10173927814882376,-0.023269018908837875,690,85,social_networks,q1,target,anchor,0.030428136760580107,-0.0008433117737532272
other1,0.17622099797455562,0.07632261946392707,901,99,social_networks,q2,target,anchor,0.06108250101525861,0.03780414599730883
other2,0.16023184670832,0.05220912298560897,822,95,social_networks,q1,anchor,anchor,0.09542819366263207,0.07251269729549324
other3,0.1759504627553647,0.062251425494551295,690,85,social_networks,q1,anchor,anchor,0.06380669231804904,0.03506054937828581
talkto1,0.2221367553706491,0.12803195617097582,908,100,social_networks,q4,anchor,anchor,0.08913837788772168,0.06779547170021914
talkto2,0.26583936392882623,0.17239442333020008,821,95,social_networks,q4,anchor,anchor,0.10292992477401258,0.0804795391765084
talkto3,0.26286092227761043,0.16183753230008396,688,85,social_networks,q4,anchor,anchor,0.09485090007342765,0.06828249041705887
god,0.13614639367823203,0.08568528604219741,2160,122,religion_morality,q3,anchor,anchor,0.0575240195293225,0.04833985232907939
reborn,0.11667984534448328,0.08257235566390775,3185,122,religion_morality,q3,target,anchor,0.05378188422585627,0.04813865713667958
liveblks,0.12926176147304771,0.07765313770364675,2134,122,race_ethnicity,q2,anchor,anchor,0.03903501214510023,0.02876486262113647
marblk,0.12476502806922908,0.07345068378402898,2157,122,race_ethnicity,q2,anchor,anchor,0.039014688673314465,0.028872852163397404
marasian,0.09205739123825349,0.03808996483435816,2143,122,race_ethnicity,q1,target,anchor,0.022069810351957316,0.010958820649658226
marhisp,0.08998795789070756,0.03609111905321825,2151,122,race_ethnicity,q1,target,anchor,0.02558469652407856,0.01470599270233081
marwht,0.09870970673848257,0.04531263100444116,2147,122,race_ethnicity,q1,anchor,anchor,0.03522724703630444,0.02483222510809447
discaff,0.06533682390851038,0.028318550954566153,3154,122,race_ethnicity,q1,target,anchor,0.01970404760774736,0.012359357869935547
united,0.2647029409229943,0.18279237259942432,1011,104,civic_trust,q4,anchor,anchor,0.06827279495929713,0.04769959621441923
impfinan,0.19894000970799383,0.10880084434956215,1009,104,econ_inequality,q3,target,anchor,0.06585806473871866,0.045109427526736946
impmar,0.19253370705515613,0.10158886368466642,999,103,gender_family,q3,target,anchor,0.0661692765502068,0.04530241458238422
impkids,0.14755758585762574,0.05072880447560644,1006,104,gender_family,q1,target,anchor,0.03908478800771561,0.016518493585103405
impgod,0.20064989362291907,0.11061917216092729,1008,104,religion_morality,q3,anchor,anchor,0.06642241656305509,0.04568744220566651
impthngs,0.20341075544764306,0.11392413976933376,1010,104,econ_inequality,q4,anchor,anchor,0.06133292088165181,0.04031669217734489
impcultr,0.18874873340297216,0.09714706929380033,1007,104,misc_behavior,q3,target,anchor,0.05611878723511891,0.03469707971682363
impjob,0.1303631177853623,0.031604433387360686,1008,104,work_labor,q1,anchor,anchor,0.031820498525362784,0.008815713292105787
impself,0.1898466673511684,0.09879188618677454,1011,104,misc_behavior,q3,anchor,anchor,0.07847335328582819,0.0585686275622787
fejobaff,0.20230691987288973,0.10810364220271468,1004,108,gender_family,q3,anchor,anchor,0.04208353682594011,0.019657081823192993
refpromo,0.1101936598311502,0.056234562200255564,2097,122,work_labor,q1,anchor,anchor,0.017031990895058403,0.0053814229930830935
refmorwk,0.10430243540211044,0.0500041593581618,2100,122,work_labor,q1,anchor,anchor,0.0233996751422387,0.012108838434529574
workless,0.10521283658350099,0.0508959247266046,2097,122,work_labor,q1,target,anchor,0.024191664890781603,0.012926272143423255
noathome,0.10810118334996659,0.054105236771627666,2101,122,work_labor,q1,anchor,anchor,0.018030598753648416,0.006457646952254596
nonurse,0.0829762186344523,0.02695586004283257,2093,122,work_labor,q1,target,anchor,0.02467540336296254,0.013411797616842337
discaffm,0.17456277774473986,0.07744182439883115,1029,110,gender_family,q2,target,anchor,0.03749657882163304,0.015158849233521838
discaffw,0.23896234807294534,0.14242415365182298,869,100,gender_family,q4,target,anchor,0.04795515430396001,0.022671482032837146
fehire,0.14216409301977373,0.09236546172970933,2169,122,gender_family,q3,target,anchor,0.03412624956354858,0.02379492364321928
seriousp,0.12744596799184835,0.05601552379160576,1589,122,health_wellbeing,q1,anchor,target,0.01876173068822568,0.0031955929177638516
charactr,0.13206475564122153,0.06021419891782767,1572,122,health_wellbeing,q1,target,target,0.027368404634379038,0.012124238070263929
imbalnce,0.1433090901431657,0.07143261607216767,1551,122,health_wellbeing,q2,target,target,0.03470048090887954,0.019654272425956503
wayraise,0.1212333125464369,0.04717191801534715,1549,122,health_wellbeing,q1,target,target,0.03355178358230344,0.018417621499982464
stresses,0.13571031879859055,0.06383996246731226,1565,122,health_wellbeing,q2,anchor,target,0.041340003515984707,0.026819714947364424
genetics,0.11195098212857012,0.03679705814105841,1545,122,health_wellbeing,q1,target,target,0.01523362415344698,-0.0010148383502703757
godswill,0.14956547312394983,0.07783015605252548,1542,122,health_wellbeing,q2,anchor,target,0.04136214367775641,0.02659766474950403
upsdowns,0.10456634250212132,0.029930177256554155,1568,122,health_wellbeing,q1,anchor,target,0.03282690570889543,0.017855642411631626
breakdwn,0.14382595288091576,0.07216016382975508,1554,122,health_wellbeing,q2,anchor,target,0.03704837620797737,0.02216861611544916
mentlill,0.16061366043547895,0.08996804992557823,1543,122,health_wellbeing,q3,anchor,target,0.03868815085285118,0.023785091100739737
physill,0.14023726455753244,0.06802967230188782,1550,122,health_wellbeing,q2,anchor,target,0.03973123508381891,0.024964089937092284
dectreat,0.13436465138243525,0.06232308741952227,1564,122,health_wellbeing,q1,target,target,0.04633535289188226,0.03209073976519295
decmoney,0.11900535061540887,0.04462769456742297,1547,122,health_wellbeing,q1,target,target,0.03800396701856251,0.023105127701481806
imprvown,0.12492524284445643,0.05194413179214315,1563,122,health_wellbeing,q1,anchor,target,0.0367296550043463,0.021928229097439623
imprvtrt,0.12066079780593854,0.04702110115810487,1558,122,health_wellbeing,q1,anchor,target,0.03016518135309534,0.014932659224964047
vignei,0.13572540812698308,0.06277378682786312,1544,122,health_wellbeing,q2,anchor,target,0.035071754180784,0.019972785219406503
vigsoc,0.13829078982112694,0.06646251161237407,1561,122,health_wellbeing,q2,target,target,0.03420952812688522,0.019243867534697097
vigfrnd,0.13343439505649293,0.06063083885741511,1551,122,health_wellbeing,q1,anchor,target,0.023060601754009584,0.007339767789751419
vigwork,0.11434166170649764,0.039086983918884294,1539,122,health_wellbeing,q1,anchor,target,0.027332128260076947,0.011729161100445343
viggrp,0.1408931258822429,0.06780210057840699,1532,122,health_wellbeing,q2,anchor,target,0.04099126414753576,0.026101073981251208
vigmar,0.12382726731516595,0.04862034595706958,1523,122,health_wellbeing,q1,anchor,target,0.0359664847450476,0.020685364378282004
hurtoth,0.1590594506570477,0.08654155723226198,1510,122,health_wellbeing,q3,anchor,target,0.03429361433159099,0.01876741776192981
hurtself,0.13813446992666695,0.06445609890589525,1526,122,health_wellbeing,q2,target,target,0.018514548073923696,0.002246693756403052
